JUnit version 4.12
byteman jar is /home/tonypan/.m2/repository/org/jboss/byteman/byteman/4.0.14/byteman-4.0.14.jar
Setting org.jboss.byteman.allow.config.update=true
.2022-09-19 16:36:29,519 - INFO  [main:QuorumPeerConfig@460] - clientPortAddress is 0.0.0.0:2183
2022-09-19 16:36:29,521 - INFO  [main:QuorumPeerConfig@464] - secureClientPort is not set
2022-09-19 16:36:29,521 - INFO  [main:QuorumPeerConfig@480] - observerMasterPort is not set
2022-09-19 16:36:29,522 - INFO  [main:QuorumPeerConfig@497] - metricsProvider.className is org.apache.zookeeper.metrics.impl.DefaultMetricsProvider
2022-09-19 16:36:29,526 - INFO  [main:LeaderLeadingStateTest$MockQuorumPeerMain@136] - Starting quorum peer, myid=3
2022-09-19 16:36:29,581 - INFO  [main:ServerMetrics@62] - ServerMetrics initialized with provider org.apache.zookeeper.metrics.impl.DefaultMetricsProvider@6a2bcfcb
2022-09-19 16:36:29,591 - INFO  [main:ServerCnxnFactory@169] - Using org.apache.zookeeper.server.NIOServerCnxnFactory as server connection factory
2022-09-19 16:36:29,592 - WARN  [main:ServerCnxnFactory@309] - maxCnxns is not configured, using default value 0.
2022-09-19 16:36:29,593 - INFO  [main:NIOServerCnxnFactory@666] - Configuring NIO connection handler with 10s sessionless connection timeout, 3 selector thread(s), 40 worker threads, and 64 kB direct buffers.
2022-09-19 16:36:29,598 - INFO  [main:NIOServerCnxnFactory@674] - binding to port 0.0.0.0/0.0.0.0:2183
2022-09-19 16:36:29,604 - INFO  [main:QuorumPeer@752] - zookeeper.quorumCnxnTimeoutMs=-1
2022-09-19 16:36:29,607 - INFO  [main:X509Util@77] - Setting -D jdk.tls.rejectClientInitiatedRenegotiation=true to disable client-initiated TLS renegotiation
2022-09-19 16:36:29,609 - INFO  [main:FileTxnSnapLog@124] - zookeeper.snapshot.trust.empty : false
2022-09-19 16:36:29,612 - INFO  [main:QuorumPeer@1683] - Local sessions disabled
2022-09-19 16:36:29,612 - INFO  [main:QuorumPeer@1694] - Local session upgrading disabled
2022-09-19 16:36:29,612 - INFO  [main:QuorumPeer@1661] - tickTime set to 2000
2022-09-19 16:36:29,614 - INFO  [main:QuorumPeer@1705] - minSessionTimeout set to 4000
2022-09-19 16:36:29,614 - INFO  [main:QuorumPeer@1716] - maxSessionTimeout set to 40000
2022-09-19 16:36:29,614 - INFO  [main:QuorumPeer@1741] - initLimit set to 10
2022-09-19 16:36:29,614 - INFO  [main:QuorumPeer@1928] - syncLimit set to 2000
2022-09-19 16:36:29,614 - INFO  [main:QuorumPeer@1943] - connectToLearnerMasterLimit set to 0
2022-09-19 16:36:29,624 - INFO  [main:ZookeeperBanner@42] - 
2022-09-19 16:36:29,624 - INFO  [main:ZookeeperBanner@42] -   ______                  _                                          
2022-09-19 16:36:29,624 - INFO  [main:ZookeeperBanner@42] -  |___  /                 | |                                         
2022-09-19 16:36:29,625 - INFO  [main:ZookeeperBanner@42] -     / /    ___     ___   | | __   ___    ___   _ __     ___   _ __   
2022-09-19 16:36:29,625 - INFO  [main:ZookeeperBanner@42] -    / /    / _ \   / _ \  | |/ /  / _ \  / _ \ | '_ \   / _ \ | '__|
2022-09-19 16:36:29,625 - INFO  [main:ZookeeperBanner@42] -   / /__  | (_) | | (_) | |   <  |  __/ |  __/ | |_) | |  __/ | |    
2022-09-19 16:36:29,625 - INFO  [main:ZookeeperBanner@42] -  /_____|  \___/   \___/  |_|\_\  \___|  \___| | .__/   \___| |_|
2022-09-19 16:36:29,625 - INFO  [main:ZookeeperBanner@42] -                                               | |                     
2022-09-19 16:36:29,625 - INFO  [main:ZookeeperBanner@42] -                                               |_|                     
2022-09-19 16:36:29,625 - INFO  [main:ZookeeperBanner@42] - 
2022-09-19 16:36:29,626 - INFO  [main:Environment@98] - Server environment:zookeeper.version=3.6.2--b777c1b0a3c81b672966a622c28127874d713895-dirty, built on 09/19/2022 20:35 GMT
2022-09-19 16:36:29,626 - INFO  [main:Environment@98] - Server environment:host.name=razor15
2022-09-19 16:36:29,626 - INFO  [main:Environment@98] - Server environment:java.version=1.8.0_275
2022-09-19 16:36:29,627 - INFO  [main:Environment@98] - Server environment:java.vendor=Private Build
2022-09-19 16:36:29,627 - INFO  [main:Environment@98] - Server environment:java.home=/usr/lib/jvm/java-8-openjdk-amd64/jre
